,ID,LIMIT_BAL,SEX,EDUCATION,MARRIAGE,AGE,PAY_0,PAY_2,PAY_3,PAY_4,PAY_5,PAY_6,BILL_AMT1,BILL_AMT2,BILL_AMT3,BILL_AMT4,BILL_AMT5,BILL_AMT6,PAY_AMT1,PAY_AMT2,PAY_AMT3,PAY_AMT4,PAY_AMT5,PAY_AMT6,default.payment.next.month
20599,20600,90000.0,1,1,2,31,0.0,0.0,2.0,0.0,0.0,0.0,32581.0,36525.0,35660.0,36436.0,33548.0,32061.0,4500.0,0.0,3000.0,10000.0,2000.0,2000.0,0.0
12500,12501,70000.0,2,2,1,38,1.0,2.0,2.0,2.0,2.0,2.0,30175.0,31289.0,31678.0,32255.0,32890.0,33595.0,1900.0,1200.0,1400.0,1300.0,1400.0,1400.0,0.0
29763,29764,80000.0,1,2,1,32,0.0,0.0,0.0,0.0,0.0,0.0,81249.0,81117.0,81140.0,80567.0,59560.0,40390.0,3000.0,3300.0,2602.0,1800.0,1432.0,1520.0,0.0
4856,4857,60000.0,1,2,2,32,0.0,0.0,0.0,0.0,0.0,0.0,51934.0,40855.0,37742.0,29450.0,8850.0,0.0,2000.0,2000.0,1400.0,200.0,600.0,0.0,0.0
3547,3548,250000.0,1,3,1,28,0.0,0.0,0.0,0.0,0.0,0.0,191305.0,90497.0,92278.0,93354.0,95309.0,97411.0,3899.0,3913.0,3186.0,3301.0,3525.0,3095.0,0.0
16835,16836,360000.0,1,1,2,30,-2.0,-2.0,-2.0,-2.0,-2.0,-2.0,1246.0,17234.0,387.0,776.0,810.0,0.0,17328.0,388.0,779.0,814.0,0.0,0.0,0.0
11378,11379,180000.0,1,2,2,25,0.0,0.0,0.0,0.0,0.0,-1.0,4236.0,5230.0,6570.0,7192.0,6437.0,12499.0,2001.0,2000.0,1018.0,6154.0,12527.0,5016.0,0.0
3506,3507,200000.0,1,3,2,26,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,8355.0,8355.0,8355.0,8355.0,8355.0,8355.0,8355.0,8355.0,8355.0,8355.0,8355.0,8285.0,0.0
24874,24875,500000.0,1,1,1,37,0.0,0.0,0.0,0.0,0.0,0.0,62053.0,46888.0,50783.0,53204.0,56946.0,58394.0,75840.0,5000.0,5012.0,10000.0,5000.0,10000.0,0.0
9625,9626,20000.0,1,3,2,24,0.0,0.0,0.0,0.0,2.0,2.0,13470.0,14748.0,15761.0,17497.0,17075.0,19777.0,1500.0,1264.0,2000.0,0.0,3000.0,0.0,1.0
6435,6436,230000.0,1,2,1,36,-1.0,-1.0,2.0,2.0,2.0,0.0,3872.0,5376.0,3878.0,4824.0,2720.0,1526.0,2000.0,397.0,2720.0,0.0,1000.0,435.0,0.0
15390,15391,150000.0,2,2,1,49,-1.0,-1.0,0.0,-1.0,-1.0,-1.0,4016.0,5115.0,3425.0,1334.0,2117.0,1098.0,5119.0,1002.0,1336.0,2119.0,1098.0,757.0,0.0
28084,28085,290000.0,2,2,2,36,0.0,0.0,0.0,0.0,2.0,0.0,110695.0,108583.0,70642.0,71008.0,65455.0,63421.0,3260.0,5000.0,4706.0,0.0,2007.0,2482.0,0.0
20879,20880,270000.0,1,2,1,36,1.0,2.0,0.0,0.0,0.0,0.0,5714.0,3548.0,11419.0,20787.0,23471.0,25987.0,0.0,11000.0,10000.0,5000.0,5000.0,3000.0,1.0
27738,27739,80000.0,2,3,2,23,0.0,0.0,0.0,0.0,0.0,0.0,66909.0,67465.0,65470.0,57187.0,29058.0,26790.0,2451.0,3017.0,1557.0,1500.0,1000.0,1239.0,0.0
11053,11054,120000.0,2,3,1,43,1.0,2.0,-1.0,-1.0,-1.0,-2.0,2057.0,1722.0,716.0,926.0,0.0,0.0,524.0,716.0,926.0,0.0,0.0,485.0,0.0
2269,2270,70000.0,2,2,2,24,0.0,0.0,2.0,2.0,2.0,2.0,41485.0,44697.0,47229.0,47956.0,47056.0,49565.0,4200.0,3600.0,1800.0,0.0,3308.0,2500.0,0.0
28475,28476,100000.0,2,2,1,30,0.0,0.0,0.0,0.0,0.0,0.0,47423.0,49978.0,52520.0,54877.0,57484.0,59095.0,3000.0,3000.0,3000.0,3000.0,2000.0,3000.0,0.0
21961,21962,150000.0,2,2,2,27,-1.0,-1.0,-1.0,-1.0,0.0,0.0,1518.0,1798.0,5699.0,4644.0,70337.0,67902.0,1798.0,5699.0,4644.0,70331.0,3000.0,3000.0,0.0
24655,24656,210000.0,1,2,1,45,0.0,0.0,0.0,0.0,0.0,0.0,56024.0,57148.0,58338.0,59529.0,60720.0,61980.0,1836.0,1897.0,1936.0,1952.0,2013.0,9062.0,1.0
2292,2293,80000.0,2,3,1,43,2.0,2.0,3.0,3.0,2.0,3.0,68152.0,71459.0,73690.0,71908.0,76294.0,74788.0,5000.0,4000.0,0.0,5700.0,0.0,0.0,1.0
4955,4956,180000.0,1,1,1,46,0.0,0.0,0.0,0.0,-2.0,-2.0,160580.0,171644.0,184650.0,0.0,0.0,0.0,13714.0,16500.0,0.0,0.0,0.0,0.0,1.0
27564,27565,30000.0,1,6,1,53,-2.0,-2.0,-2.0,-2.0,-2.0,-2.0,1780.0,0.0,0.0,0.0,0.0,0.0,24437.0,0.0,0.0,0.0,0.0,0.0,1.0
25623,25624,140000.0,2,3,1,48,0.0,0.0,-1.0,0.0,0.0,0.0,143650.0,0.0,139067.0,93325.0,94256.0,97009.0,0.0,139067.0,4263.0,3376.0,4274.0,4635.0,0.0
